,dataset,model,seed,bestmodel_train/F1_weighted,bestmodel_valid/F1_weighted,bestmodel_test/F1_weighted
0,COIL20,F-Act,1.0,1.0,0.992909611349226,0.9860391157708553
1,COIL20,F-Act (full TTI),1.0,1.0,0.9918101357039425,0.9826081964900205
2,COIL20,F-Act (optimal TTI),1.0,1.0,0.9952822727781016,0.9884189165373506
3,Isolet,F-Act,1.0,0.999627662577149,0.9264465535702993,0.9196748586958644
4,Isolet,F-Act (full TTI),1.0,0.999627662577149,0.94299039310745,0.9285813562959606
5,Isolet,F-Act (optimal TTI),1.0,0.999627662577149,0.94299039310745,0.9285813562959606
6,PBMC,F-Act,2.0,1.0,0.8460684709297362,0.8317191008838605
7,PBMC,F-Act (full TTI),2.0,1.0,0.854801870230375,0.9131239685363397
8,PBMC,F-Act (optimal TTI),2.0,1.0,0.8792631280752519,0.8987034458753915
9,USPS,F-Act,1.0,0.9902545872240748,0.9680841234568197,0.9682920647222635
10,USPS,F-Act (full TTI),1.0,0.9902545872240748,0.9624585751576932,0.9602608683928228
11,USPS,F-Act (optimal TTI),1.0,0.9902545872240748,0.9666083765862972,0.9595258517348065
12,finance,F-Act,1.0,0.6585647655635345,0.5991679239667589,0.60292291553592
13,finance,F-Act (full TTI),1.0,0.6585647655635345,0.5754295340452213,0.5994762364049104
14,finance,F-Act (optimal TTI),1.0,0.6585647655635345,0.6026874092934794,0.5981311654169356
15,madelon,F-Act,1.0,0.8693267704379832,0.7287208056397012,0.7224802706470154
16,madelon,F-Act (full TTI),1.0,0.8693267704379832,0.7223411878722347,0.7022226280422195
17,madelon,F-Act (optimal TTI),1.0,0.8693267704379832,0.741475110139603,0.7290476557657414
18,mice_protein,F-Act,2.6666666666666665,0.9994791056100452,0.9814720013404422,0.9877321752006752
19,mice_protein,F-Act (full TTI),2.6666666666666665,0.9994791056100452,0.9861194810142498,0.9846077454952581
20,mice_protein,F-Act (optimal TTI),2.6666666666666665,0.9994791056100452,0.9907872082218175,0.982995354700903
21,poly_binarised_decimalised_synth,F-Act,1.0,0.2848330684695599,0.27372158974918837,0.2683108291473002
22,poly_binarised_decimalised_synth,F-Act (full TTI),1.0,0.2848330684695599,0.41280228255831447,0.40102977437940357
23,poly_binarised_decimalised_synth,F-Act (optimal TTI),1.0,0.2848330684695599,0.4232804467135671,0.41755502235467473
